"created_at","tweet_user_id","followers_count","country","name","coordinates","place_type","text","hashtag","game"
"2019-05-09 05:30:40","72145947","866","México","Miguel Hidalgo","[[[-99.259495, 19.386371], [-99.259495, 19.473498], [-99.163526, 19.473498], [-99.163526, 19.386371]]]","city","No quería entrar a jugar hoy #Overwatch  y llevamos super racha de victorias, es mi puntuación más alta que he obte… https://t.co/eEunCo2Ygp","['Overwatch']","overwatch"
"2019-05-09 12:21:54","279404232","430","Dominican Republic","anto Domingo de Guzmán","[[[-69.996319, 18.424798], [-69.996319, 18.546752], [-69.860465, 18.546752], [-69.860465, 18.424798]]]","city","Estos son los items que fueron vaulteados del juego para esta season!!!
.
.
Créditos de la imagen: fortnitefeed… https://t.co/sxjGvNDbxX",NULL,"Fortnite"
"2019-05-09 12:21:57","318016839","290","Ecuador","Guayaquil","[[[-80.467605, -3.063716], [-80.467605, -1.962274], [-79.714781, -1.962274], [-79.714781, -3.063716]]]","city","La #Temporada9 de #Fortnite acaba de abrir sus compuertas, y trae consigo un aluvión de #nuevascaracterísticas junt… https://t.co/dp2XDAvVN9","['Temporada9', 'Fortnite', 'nuevascaracterísticas']","Fortnite"
"2019-05-09 05:39:31","1220339060","518","United States","Minneapolis","[[[-93.329515, 44.889964], [-93.329515, 45.051257], [-93.194578, 45.051257], [-93.194578, 44.889964]]]","city","Stick em up ! Ready up! We got round 2 of the pop up #apexlegends tournament mortimersbar on the 19th... my boys fr… https://t.co/DYKMugAGCM","['apexlegends']","ApexLegends"
"2019-05-09 12:27:07","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Mochilas que llegaran pronto a Fortnite
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop… https://t.co/781zOMTQUz","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop']","Fortnite"
"2019-05-09 12:31:31","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Escopeta de combate
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop #fortnitechallenges… https://t.co/Cf0h4y4pXZ","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop', 'fortnitechallenges']","Fortnite"
"2019-05-09 14:19:46","56645396","946","United States","Alafaya","[[[-81.244501, 28.489488], [-81.244501, 28.568794], [-81.125632, 28.568794], [-81.125632, 28.489488]]]","city","RIP Pump Shotgun.

Can we get some F’s in the chat for the old girl?

Wtf is @EpicGames doing to #Fortnite? https://t.co/XEo0OtOSfg","['Fortnite']","Fortnite"
"2019-05-09 12:15:16","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Nuevo mapa temporada 9
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop #fortnitechallenges… https://t.co/IO1ZbWragN","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop', 'fortnitechallenges']","Fortnite"
"2019-05-09 12:31:52","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Nueva pantalla de elección de modo de juego
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop… https://t.co/tYgmdRDQin","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop']","Fortnite"
"2019-05-09 12:15:54","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Todas las skins del pase de batalla
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop… https://t.co/HkbTYcw2T7","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop']","Fortnite"
"2019-05-09 12:33:43","2394418921","77","Guatemala","Guatemala","[[[-92.227387, 13.72873], [-92.227387, 17.816205], [-88.221055, 17.816205], [-88.221055, 13.72873]]]","country","Última victoria Temporada 8 🎮🌋
Apoyame como creador en la tienda de @fortnitegame  con mi código: 
TRICKINGMCLOU 🎮🔥… https://t.co/zYkiWjAnvm",NULL,"Fortnite"
"2019-05-09 15:22:42","1019441568942444544","129","United States","Arizona","[[[-114.818269, 31.332246], [-114.818269, 37.004261], [-109.045153, 37.004261], [-109.045153, 31.332246]]]","admin","Starting my stream now! Im trying to get 1,500 damage per game on my wraith stats and im almost there :)… https://t.co/ZIOJxZemid",NULL,"Fortnite"
"2019-05-09 12:17:23","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Han eliminado la escopeta de corredera
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop… https://t.co/uglIK5Wxg9","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop']","Fortnite"
"2019-05-09 15:44:30","33430733","6231","United States","Austin","[[[-97.928935, 30.127892], [-97.928935, 30.518799], [-97.580513, 30.518799], [-97.580513, 30.127892]]]","city","We LIVE NOW Feature Hype  #thursdaymotivation playin some #Fortnite on watchmixer come enjoy community fun… https://t.co/pIvVEFUj6t","['thursdaymotivation', 'Fortnite']","Fortnite"
"2019-05-09 16:13:12","460848728","63","Sverige","Stockholm","[[[17.760132, 59.227138], [17.760132, 59.440204], [18.199986, 59.440204], [18.199986, 59.227138]]]","city","Ca 15% av min lediga tid går det åt spela #Fortnite. Fantastik spel och pengamaskin 💸👍🏽🎮","['Fortnite']","Fortnite"
"2019-05-09 12:35:25","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Al parecer balsa botín comienza a regenerarse
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop… https://t.co/j4k1RqBIT2","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop']","Fortnite"
"2019-05-09 21:14:14","759175293823283200","102","France","Reims","[[[3.985842, 49.2039], [3.985842, 49.303158], [4.124026, 49.303158], [4.124026, 49.2039]]]","city","En vrai j'ai jamais trop été hype par les saison de #Fortnite là ça me plaît bien la saison 9 et vous ? 😁 #fortnitesaison9 #Fortnitefr","['Fortnite', 'fortnitesaison9', 'Fortnitefr']","Fortnite"
"2019-05-09 12:37:37","555520981","1095","United States","Georgetown","[[[-75.413361, 38.665959], [-75.413361, 38.707712], [-75.363777, 38.707712], [-75.363777, 38.665959]]]","city","So what’s going on with my OG John Wick skin are we getting a variant style or something I know it won’t be in the… https://t.co/rREo2yCmqA",NULL,"Fortnite"
"2019-05-09 16:34:52","144736130","832","Argentina","Ciudad Autónoma de Buenos Aires","[[[-58.531792, -34.674453], [-58.531792, -34.534177], [-58.353494, -34.534177], [-58.353494, -34.674453]]]","city","Los que diseñaron el vídeo de PG-13 se nota que eran re fans del #Fortnite 😂","['Fortnite']","Fortnite"
